12|16619
736|14635
307|14553
765|11485
737|11200
738|10862
856|10521
863|10286
339|10249
783|10215
624|8880
25|8863
771|8364
864|8056
308|7648
358|7409
874|7044
689|6991
844|6762
852|6695
303|6513
800|6365
904|6327
746|6146
880|5975
803|5954
620|5946
902|5842
1023|5835
662|5776
324|5646
691|5544
305|5472
808|5449
627|5106
573|5079
593|5018
594|4976
841|4756
595|4616
1030|4570
717|4414
740|4370
290|4274
752|4221
984|4138
791|3923
894|3849
569|3699
579|3623
698|3603
701|3561
621|3540
848|3361
633|3259
670|3235
664|3203
751|3192
775|3142
897|3140
600|3069
656|3046
981|3039
809|2952
922|2946
843|2938
1014|2893
896|2844
1017|2777
690|2746
700|2713
954|2675
1006|2670
666|2668
802|2645
849|2630
655|2623
974|2599
586|2472
680|2394
1022|2367
983|2326
1011|2319
872|2260
851|2241
1008|2218
628|2143
1019|2113
1009|2108
1027|2103
854|1987
890|1983
1064|1925
336|1799
951|1787
1029|1748
1004|1729
1034|1726
1000|1590
674|1559
901|1510
663|1485
898|1374
639|1335
1005|1331
1028|1299
911|1221
1038|1219
991|1207
713|1196
824|1167
599|1150
580|1136
1010|1115
657|1101
924|1100
928|1068
673|1057
909|1050
914|1039
772|1029
876|1025
634|1017
798|1002
676|966
785|944
665|942
887|942
840|906
931|898
900|897
1020|880
359|868
1012|868
799|852
842|844
39|843
718|809
682|802
316|797
1002|796
651|789
782|745
653|738
677|737
1013|732
921|721
683|715
956|707
590|688
748|655
986|620
993|619
969|613
1055|591
612|589
1016|586
899|561
878|554
958|538
1058|533
877|515
711|505
933|499
728|493
888|489
929|477
1032|472
857|470
784|466
1051|453
640|452
659|445
1057|445
780|436
572|432
734|432
960|413
980|412
903|408
825|407
930|397
630|383
786|383
681|376
1049|372
584|367
972|367
868|359
597|357
869|337
915|335
777|331
615|330
1063|308
679|302
642|299
706|297
334|291
661|284
957|265
643|256
795|252
675|239
632|223
344|216
963|212
709|205
967|200
1021|198
1036|194
881|185
704|181
309|175
955|174
1018|174
988|171
708|164
649|157
953|156
855|154
789|150
340|148
332|139
764|136
787|135
859|135
678|124
705|124
696|118
710|107
925|102
694|101
1074|100
873|97
1070|92
882|89
788|86
794|82
766|76
875|73
905|73
801|70
994|63
885|61
892|61
668|60
330|59
1043|58
1046|58
369|57
779|50
966|48
1069|47
1072|39
768|35
975|31
910|30
1059|28
846|21
1035|21
617|20
959|16
982|16
822|13
654|11
860|7
669|5
575|4
742|4
749|4
891|4
944|4
945|3
10|2
23|2
27|2
50|2
54|2
242|2
247|2
254|2
255|2
258|2
259|2
263|2
264|2
274|2
291|2
304|2
589|2
592|2
618|2
629|2
735|2
759|2
814|2
815|2
821|2
832|2
839|2
908|2
926|2
938|2
946|2
1061|2
1062|2
13|1
14|1
15|1
18|1
19|1
20|1
21|1
24|1
29|1
30|1
35|1
36|1
40|1
42|1
46|1
47|1
48|1
49|1
51|1
52|1
53|1
56|1
60|1
241|1
248|1
249|1
251|1
256|1
260|1
269|1
270|1
271|1
272|1
276|1
278|1
279|1
280|1
287|1
293|1
299|1
301|1
325|1
347|1
353|1
596|1
609|1
622|1
626|1
644|1
647|1
648|1
686|1
693|1
731|1
743|1
755|1
758|1
763|1
767|1
807|1
813|1
816|1
818|1
820|1
858|1
918|1
919|1
923|1
935|1
936|1
937|1
939|1
940|1
941|1
942|1
943|1
973|1
1026|1
