article	number of edits
(18196766,)	706
(18207212,)	18
(18209210,)	20
(18198294,)	1
(18217020,)	1
(18197501,)	16
(18207691,)	1
(18224335,)	15
(18204544,)	1
(18200385,)	2
(18212354,)	2
(18205790,)	7
(18204741,)	10
(18214608,)	377
(18207121,)	1
(18209400,)	70
(18224814,)	1
(18222393,)	2
(18198459,)	1
(18199831,)	1
(18206269,)	49
(18212040,)	38
(18220874,)	19
(18209895,)	2
(18208846,)	2
(18212535,)	32
(18204906,)	1
(18196370,)	1
(18224979,)	5
(18197600,)	2342
(18205385,)	3
(18214219,)	2
(18209804,)	3
(18215591,)	2
(18200475,)	2
(18197046,)	2
(18202817,)	8
(18205864,)	116
(18207236,)	1
(18204831,)	5
(18200656,)	1
(18213649,)	4
(18218324,)	2
(18197525,)	1
(18207971,)	4
(18211081,)	1
(18196006,)	1
(18208920,)	1
(18224590,)	3
(18221145,)	4
(18198260,)	4
(18203791,)	9
(18223541,)	18
(18202998,)	1
(18208450,)	1
(18206045,)	1
(18201630,)	2
(18204996,)	11
(18210448,)	15
(18209415,)	2
(18224020,)	56
(18199062,)	1
(18205475,)	1
(18207103,)	1
(18214309,)	1
(18223731,)	2
(18197120,)	2
(18205161,)	10
(18212971,)	136
(18197871,)	14
(18205640,)	1
(18220286,)	100
(18207012,)	1
(18213450,)	4
(18196336,)	22
(18224689,)	4
(18223640,)	1
(18197301,)	1
(18206135,)	7
(18210882,)	15
(18207491,)	1
(18210794,)	1
(18212880,)	9
(18209745,)	2
(18223342,)	4
(18200441,)	7
(18212410,)	1
(18204797,)	7
(18214408,)	29
(18207177,)	1
(18208705,)	3
(18205276,)	9
(18211063,)	1
(18214110,)	2
(18200836,)	2
(18218513,)	1
(18203757,)	3
(18205755,)	1
(18204706,)	8
(18214589,)	1
(18196426,)	1
(18215152,)	1
(18218215,)	57
(18221325,)	2
(18205185,)	6
(18210972,)	14
(18219806,)	57
(18209860,)	1
(18195856,)	48
(18222060,)	1
(18199482,)	1
(18211707,)	28
(18207292,)	6
(18204887,)	1
(18209290,)	5
(18221020,)	13
(18206722,)	15
(18214184,)	1
(18217810,)	1
(18208506,)	15
(18205052,)	7
(18220450,)	1
(18219401,)	1
(18209471,)	11
(18217240,)	1
(18205531,)	14
(18219112,)	1
(18195971,)	32
(18223506,)	1
(18202963,)	1
(18211797,)	1
(18207382,)	1
(18204961,)	2
(18200076,)	1
(18197671,)	3
(18205440,)	9
(18211227,)	1
(18214274,)	1
(18215902,)	20
(18203921,)	1
(18199762,)	12
(18197357,)	1
(18212755,)	45
(18201760,)	2
(18207547,)	3
(18213985,)	3
(18210594,)	58
(18223142,)	2
(18214464,)	179
(18206977,)	10
(18210280,)	11
(18222249,)	2
(18209247,)	59
(18197266,)	101
(18210863,)	2
(18207712,)	2
(18209726,)	14
(18200422,)	37
(18198001,)	17
(18212391,)	1
(18199373,)	1
(18202420,)	1
(18204762,)	1
(18207158,)	28
(18213596,)	3
(18196226,)	34
(18224835,)	1
(18218015,)	17
(18209916,)	2
(18212556,)	8
(18196877,)	25
(18205720,)	2
(18214554,)	1
(18210395,)	22
(18225000,)	3
(18223967,)	36
(18211986,)	42
(18205422,)	35
(18211193,)	2
(18220820,)	18
(18215612,)	1
(18224446,)	4
(18222025,)	12
(18203903,)	4
(18197067,)	2
(18208306,)	75
(18211672,)	15
(18204852,)	1
(18214735,)	1
(18210304,)	1
(18213686,)	4
(18224925,)	3
(18203333,)	1
(18205331,)	11
(18211118,)	1
(18206959,)	1
(18215777,)	2
(18224611,)	3
(18217791,)	26
(18198604,)	1
(18207438,)	1
(18197727,)	1
(18205496,)	10
(18220142,)	1
(18216751,)	1
(18214330,)	38
(18210171,)	9
(18209122,)	13
(18197157,)	1
(18211762,)	10
(18204942,)	1
(18195638,)	20
(18203423,)	23
(18217386,)	14
(18202311,)	27
(18208082,)	13
(18199743,)	2
(18197322,)	32
(18198694,)	2
(18208561,)	44
(18206156,)	72
(18220786,)	1
(18210575,)	2
(18215297,)	8
(18224156,)	1
(18200222,)	6
(18206635,)	2
(18214445,)	13
(18207214,)	1
(18216057,)	2
(18224891,)	4
(18197503,)	74
(18208742,)	2
(18205297,)	6
(18210828,)	1
(18207693,)	3
(18213082,)	1
(18224321,)	52
(18221916,)	3
(18217501,)	1
(18196933,)	2
(18205776,)	1
(18204743,)	7
(18219348,)	2
(18209402,)	25
(18223767,)	25
(18209881,)	2
(18195893,)	8
(18203703,)	1
(18200552,)	1
(18207313,)	2
(18214535,)	12
(18220306,)	2
(18210360,)	2
(18224981,)	1
(18223932,)	19
(18205387,)	2
(18219992,)	44
(18209806,)	3
(18223055,)	1
(18203868,)	1
(18197032,)	2
(18199428,)	92
(18205866,)	11
(18207238,)	1
(18213651,)	2
(18207973,)	161
(18206924,)	2
(18224576,)	2
(18212611,)	6
(18206047,)	7
(18211818,)	1
(18201616,)	1
(18204998,)	9
(18219628,)	3
(18221626,)	1
(18197692,)	8
(18207882,)	3
(18205477,)	9
(18210136,)	1
(18215923,)	1
(18213262,)	5
(18223733,)	1
(18199799,)	46
(18197122,)	29
(18205956,)	10
(18211743,)	16
(18207568,)	12
(18205163,)	1
(18204437,)	20
(18223163,)	14
(18197857,)	21
(18199229,)	9
(18202276,)	11
(18208063,)	42
(18205642,)	8
(18215832,)	1
(18209268,)	21
(18218895,)	1
(18197303,)	1
(18211933,)	24
(18198659,)	1
(18210884,)	6
(18212882,)	47
(18197782,)	8
(18212412,)	2
(18207179,)	1
(18224856,)	1
(18223823,)	65
(18204032,)	37
(18216987,)	1
(18208707,)	1
(18211049,)	1
(18220676,)	1
(18207658,)	1
(18213063,)	1
(18222930,)	1
(18221881,)	3
(18204708,)	10
(18214591,)	2
(18215154,)	19
(18218201,)	27
(18212023,)	37
(18205187,)	7
(18206815,)	169
(18215633,)	32
(18213228,)	14
(18222062,)	1
(18203668,)	1
(18217647,)	2
(18223418,)	11
(18200533,)	1
(18208343,)	7
(18205922,)	10
(18202531,)	29
(18204873,)	4
(18210341,)	486
(18204403,)	4
(18198914,)	39
(18196048,)	1
(18210027,)	2
(18223020,)	7
(18224632,)	3
(18198062,)	1
(18223599,)	21
(18203279,)	2
(18206582,)	25
(18205533,)	1
(18209936,)	2
(18204014,)	1
(18217977,)	35
(18212832,)	2
(18214846,)	1
(18206491,)	1
(18207070,)	1
(18218951,)	1
(18223698,)	16
(18198392,)	1
(18203923,)	1
(18199764,)	1
(18197359,)	4
(18218381,)	1
(18197838,)	1
(18206656,)	67
(18205623,)	6
(18206979,)	1
(18198880,)	2
(18220732,)	1
(18201943,)	2
(18222730,)	177
(18223309,)	62
(18203534,)	15
(18204764,)	7
(18210207,)	17
(18224837,)	2
(18209158,)	1
(18223788,)	1
(18199854,)	125
(18197433,)	5
(18212079,)	26
(18211030,)	1
(18216482,)	3
(18214077,)	2
(18201059,)	20
(18209918,)	2
(18215433,)	15
(18222911,)	46
(18218736,)	1
(18203724,)	1
(18223474,)	1
(18212558,)	2
(18204673,)	9
(18210397,)	3
(18196393,)	13
(18222341,)	1
(18217133,)	1
(18211988,)	2
(18211195,)	1
(18216663,)	32
(18220029,)	21
(18198118,)	1
(18204854,)	2
(18223878,)	8
(18205333,)	1
(18209992,)	16
(18215779,)	2
(18203814,)	2
(18200134,)	1
(18197713,)	8
(18205498,)	1
(18201339,)	1
(18219095,)	29
(18210173,)	31
(18215688,)	15
(18213283,)	1
(18222142,)	2
(18211764,)	1
(18204928,)	18
(18210652,)	7
(18213762,)	2
(18197638,)	1
(18199250,)	2
(18205679,)	5
(18215869,)	2
(18209033,)	3
(18217867,)	18
(18198680,)	3
(18208563,)	1
(18206158,)	7
(18201743,)	63
(18205109,)	7
(18223109,)	1
(18200208,)	28
(18197803,)	15
(18205588,)	1
(18201429,)	2
(18209214,)	2
(18204069,)	1
(18199910,)	1
(18211879,)	12
(18205299,)	8
(18207695,)	1
(18215489,)	9
(18213084,)	1
(18222967,)	2
(18221918,)	1
(18223274,)	11
(18212358,)	2
(18205778,)	1
(18204729,)	1
(18215968,)	1
(18214935,)	27
(18224802,)	11
(18221348,)	2
(18199819,)	4
(18212044,)	1
(18205208,)	2
(18206836,)	587
(18201024,)	1
(18209883,)	32
(18203689,)	3
(18200554,)	1
(18212523,)	49
(18207315,)	2
(18204910,)	1
(18216149,)	1
(18196374,)	2
(18207794,)	14
(18205389,)	37
(18206745,)	20
(18219994,)	19
(18209792,)	42
(18215579,)	1
(18208273,)	13
(18207480,)	3
(18204819,)	3
(18210543,)	2
(18196720,)	92
(18205554,)	12
(18214388,)	2
(18195994,)	2
(18224578,)	3
(18198248,)	1
(18199620,)	2
(18202986,)	27
(18198571,)	1
(18206033,)	10
(18204984,)	5
(18214867,)	3
(18210452,)	52
(18200099,)	7
(18199050,)	1
(18212299,)	3
(18205479,)	19
(18211250,)	12
(18220109,)	35
(18207091,)	1
(18214297,)	92
(18213248,)	4
(18222107,)	3
(18197124,)	2
(18211729,)	6
(18205165,)	9
(18214008,)	1
(18195605,)	2
(18224214,)	1
(18197859,)	17
(18207000,)	1
(18196340,)	1
(18215834,)	1
(18224693,)	15
(18223644,)	1
(18211935,)	17
(18207495,)	3
(18209749,)	5
(18223330,)	2
(18211365,)	298
(18204785,)	10
(18214412,)	7
(18207181,)	1
(18216024,)	9
(18213619,)	1
(18196249,)	14
(18210228,)	1
(18209179,)	1
(18223809,)	200
(18199875,)	1
(18197470,)	4
(18208709,)	1
(18207660,)	3
(18213049,)	1
(18203745,)	1
(18199305,)	1
(18205759,)	4
(18204710,)	3
(18201575,)	15
(18210418,)	30
(18219315,)	1
(18196430,)	1
(18223990,)	1
(18205189,)	6
(18206801,)	20
(18214023,)	1
(18201005,)	63
(18209848,)	2
(18223097,)	2
(18208815,)	30
(18222048,)	1
(18200535,)	1
(18212488,)	48
(18211711,)	5
(18207280,)	1
(18209294,)	1
(18224948,)	5
(18204405,)	1
(18223899,)	10
(18205354,)	10
(18216593,)	1
(18215800,)	2
(18221973,)	44
(18217814,)	1
(18208510,)	34
(18205833,)	17
(18210508,)	58
(18213874,)	1
(18212099,)	26
(18207940,)	3
(18209938,)	1
(18204000,)	18
(18217979,)	28
(18206014,)	11
(18204965,)	1
(18219595,)	1
(18210673,)	1
(18197659,)	1
(18196610,)	12
(18208105,)	1
(18205444,)	42
(18207056,)	1
(18210119,)	1
(18215890,)	1
(18203925,)	3
(18207551,)	3
(18210598,)	2
(18212940,)	2
(18224179,)	1
(18204660,)	82
(18218383,)	98
(18197824,)	15
(18203611,)	1
(18199196,)	3
(18211421,)	1
(18205609,)	6
(18206981,)	1
(18215815,)	2
(18198319,)	40
(18197270,)	15
(18206088,)	16
(18210851,)	18
(18207716,)	44
(18222732,)	2
(18223311,)	26
(18212379,)	1
(18205815,)	7
(18204766,)	8
(18214633,)	57
(18196230,)	25
(18217210,)	1
(18211016,)	1
(18209904,)	1
(18203726,)	2
(18199542,)	1
(18205724,)	9
(18202589,)	44
(18207336,)	3
(18204675,)	31
(18204205,)	1
(18217135,)	76
(18207831,)	1
(18205410,)	6
(18211197,)	2
(18213195,)	3
(18223078,)	1
(18223385,)	15
(18200500,)	3
(18216095,)	1
(18224913,)	6
(18196501,)	1
(18216830,)	13
(18219940,)	2
(18215781,)	2
(18222987,)	4
(18206070,)	8
(18211585,)	1
(18201655,)	2
(18200606,)	1
(18210473,)	23
(18212320,)	1
(18205500,)	6
(18211287,)	1
(18219081,)	20
(18203981,)	1
(18217944,)	1
(18199566,)	1
(18212815,)	2
(18220609,)	2
(18207607,)	3
(18210654,)	1
(18213764,)	3
(18224235,)	1
(18206714,)	2
(18205665,)	5
(18207037,)	1
(18213475,)	1
(18215871,)	2
(18224714,)	4
(18223665,)	38
(18198375,)	2
(18207516,)	3
(18205111,)	22
(18210563,)	10
(18209770,)	59
(18223111,)	1
(18200210,)	1
(18207202,)	3
(18216061,)	41
(18224895,)	1
(18222218,)	181
(18198284,)	1
(18199896,)	3
(18208730,)	42
(18222953,)	128
(18195716,)	1
(18196921,)	4
(18202389,)	49
(18204731,)	1
(18215970,)	4
(18219336,)	1
(18209406,)	1
(18224804,)	17
(18223755,)	2
(18205210,)	7
(18220864,)	18
(18206838,)	1
(18209885,)	2
(18212995,)	21
(18208836,)	15
(18224490,)	1
(18217670,)	2
(18207317,)	65
(18210364,)	2
(18224969,)	3
(18205391,)	2
(18211162,)	1
(18214209,)	38
(18209794,)	3
(18215581,)	8
(18213160,)	2
(18203856,)	1
(18197036,)	8
(18205870,)	8
(18219426,)	2
(18224101,)	4
(18207961,)	1
(18214390,)	90
(18219905,)	4
(18208926,)	1
(18212615,)	44
(18198573,)	4
(18204986,)	6
(18197680,)	3
(18196647,)	58
(18205465,)	6
(18207093,)	31
(18197126,)	1
(18202897,)	31
(18212780,)	17
(18208621,)	9
(18206200,)	2
(18207572,)	3
(18214010,)	11
(18216406,)	8
(18206695,)	21
(18208051,)	26
(18205646,)	7
(18207002,)	1
(18210049,)	7
(18215836,)	2
(18211921,)	1
(18220755,)	782
(18207737,)	3
(18215547,)	1
(18223332,)	1
(18196977,)	1
(18207183,)	1
(18210230,)	2
(18223811,)	2
(18198505,)	1
(18211846,)	503
(18208711,)	9
(18211053,)	1
(18223241,)	2
(18197951,)	1
(18212581,)	7
(18205745,)	1
(18204696,)	16
(18210420,)	11
(18196416,)	17
(18215158,)	2
(18207852,)	3
(18210962,)	7
(18209850,)	3
(18215637,)	26
(18213216,)	46
(18222050,)	112
(18198141,)	1
(18208331,)	2
(18218114,)	47
(18197571,)	18
(18206968,)	1
(18216595,)	1
(18219961,)	12
(18223008,)	18
(18205835,)	8
(18201676,)	1
(18205042,)	10
(18210510,)	1
(18216281,)	1
(18200157,)	1
(18205521,)	6
(18204002,)	4
(18223496,)	2
(18197182,)	1
(18220646,)	2
(18204967,)	10
(18219597,)	3
(18207058,)	1
(18215892,)	1
(18224751,)	5
(18203927,)	1
(18205132,)	6
(18209551,)	36
(18199198,)	1
(18208016,)	49
(18205611,)	11
(18201452,)	2
(18206983,)	1
(18224660,)	2
(18223867,)	11
(18199933,)	4
(18205801,)	18
(18211332,)	97
(18204752,)	8
(18207148,)	1
(18213586,)	1
(18214958,)	230
(18223776,)	1
(18207338,)	3
(18204677,)	8
(18196397,)	1
(18209336,)	2
(18197627,)	1
(18198974,)	17
(18211199,)	14
(18220017,)	1
(18200972,)	24
(18199453,)	1
(18204842,)	5
(18207998,)	1
(18205321,)	10
(18220991,)	1
(18203802,)	1
(18223552,)	101
(18212636,)	20
(18206056,)	1
(18211587,)	1
(18205023,)	5
(18220421,)	1
(18204537,)	1
(18218260,)	11
(18196668,)	1
(18205502,)	3
(18201343,)	1
(18210161,)	7
(18198196,)	14
(18212801,)	1
(18204462,)	1
(18207039,)	3
(18223667,)	1
(18206146,)	3
(18205097,)	10
(18213956,)	2
(18200938,)	31
(18212907,)	7
(18224146,)	1
(18203578,)	15
(18207204,)	2
(18210730,)	1
(18224327,)	2
(18223278,)	2
(18197972,)	17
(18205782,)	7
(18211553,)	1
(18208162,)	1
(18204733,)	37
(18201598,)	1
(18207113,)	1
(18213567,)	3
(18214923,)	2
(18224806,)	4
(18206261,)	8
(18212032,)	22
(18219817,)	1
(18201028,)	1
(18209887,)	2
(18224492,)	2
(18203693,)	2
(18217656,)	1
(18197113,)	22
(18212527,)	1
(18205947,)	8
(18216137,)	1
(18196362,)	10
(18215088,)	1
(18224971,)	21
(18223922,)	10
(18212213,)	14
(18205377,)	10
(18213162,)	1
(18221996,)	1
(18217837,)	9
(18200467,)	1
(18197038,)	2
(18205856,)	1
(18204823,)	5
(18216318,)	1
(18209482,)	1
(18215269,)	33
(18224103,)	16
(18202176,)	1
(18195998,)	21
(18209961,)	1
(18206037,)	5
(18211808,)	2
(18201622,)	1
(18217432,)	13
(18205467,)	6
(18207095,)	1
(18196163,)	76
(18210142,)	3
(18206202,)	5
(18200268,)	1
(18203634,)	24
(18199219,)	7
(18207004,)	1
(18224681,)	1
(18217068,)	46
(18199698,)	38
(18206127,)	17
(18210874,)	1
(18220757,)	1
(18207739,)	29
(18205078,)	5
(18209737,)	1
(18224383,)	16
(18212402,)	1
(18207169,)	1
(18218026,)	1
(18208697,)	2
(18205268,)	6
(18216507,)	55
(18210711,)	13
(18195939,)	21
(18203749,)	1
(18205747,)	20
(18215937,)	668
(18213532,)	4
(18209373,)	2
(18223978,)	1
(18200044,)	31
(18212013,)	1
(18205433,)	21
(18197094,)	1
(18205912,)	9
(18211699,)	16
(18204879,)	7
(18224936,)	5
(18223903,)	10
(18197573,)	56
(18199953,)	1
(18207763,)	42
(18205358,)	2
(18196054,)	3
(18215804,)	12
(18199664,)	9
(18208498,)	7
(18205837,)	1
(18204318,)	3
(18203269,)	2
(18206572,)	12
(18212103,)	27
(18207928,)	3
(18205523,)	6
(18219104,)	20
(18196219,)	2
(18218760,)	108
(18204004,)	3
(18217983,)	30
(18199589,)	9
(18204953,)	14
(18219599,)	1
(18210677,)	11
(18195649,)	25
(18204483,)	37
(18223209,)	15
(18206481,)	10
(18205688,)	6
(18207060,)	1
(18210107,)	18
(18198398,)	27
(18203913,)	1
(18217892,)	1
(18199754,)	5
(18197349,)	1
(18206183,)	5
(18212458,)	2
(18199184,)	1
(18205613,)	5
(18207225,)	1
(18196309,)	1
(18223869,)	3
(18210855,)	1
(18213109,)	44
(18218561,)	7
(18221943,)	34
(18197993,)	12
(18212383,)	1
(18196944,)	2
(18208199,)	1
(18210197,)	3
(18198472,)	1
(18199844,)	2
(18205233,)	11
(18209908,)	1
(18208859,)	2
(18223464,)	14
(18200323,)	1
(18196869,)	14
(18205712,)	8
(18204679,)	10
(18196399,)	1
(18209338,)	1
(18211978,)	24
(18206770,)	14
(18220019,)	1
(18209817,)	10
(18215604,)	20
(18224438,)	2
(18197059,)	17
(18212713,)	21
(18199455,)	17
(18202502,)	21
(18204844,)	3
(18214727,)	1
(18224917,)	2
(18207984,)	4
(18205323,)	10
(18211110,)	29
(18220977,)	1
(18216818,)	3
(18208949,)	2
(18199645,)	15
(18212638,)	21
(18206058,)	1
(18211589,)	30
(18207430,)	3
(18205009,)	8
(18209428,)	10
(18224033,)	22
(18197719,)	9
(18207909,)	3
(18210163,)	38
(18213273,)	2
(18209114,)	25
(18197149,)	11
(18205983,)	7
(18220613,)	1
(18212984,)	121
(18215380,)	35
(18197884,)	13
(18203415,)	28
(18199240,)	1
(18196835,)	2
(18206718,)	2
(18220043,)	38
(18207025,)	2
(18213479,)	105
(18215859,)	23
(18199735,)	12
(18197314,)	1
(18208553,)	1
(18207504,)	2
(18213958,)	10
(18200940,)	289
(18212909,)	24
(18222776,)	6
(18218617,)	1
(18196744,)	19
(18206627,)	23
(18202468,)	1
(18208255,)	1
(18205578,)	10
(18207206,)	1
(18216049,)	1
(18201898,)	19
(18207685,)	15
(18214123,)	25
(18215495,)	6
(18217493,)	36
(18200379,)	1
(18205768,)	10
(18211555,)	1
(18204735,)	67
(18197404,)	10
(18205214,)	35
(18210985,)	62
(18216453,)	2
(18201030,)	1
(18224494,)	3
(18200544,)	1
(18202646,)	11
(18207305,)	2
(18204900,)	7
(18210352,)	27
(18224973,)	1
(18203381,)	2
(18207784,)	3
(18205379,)	6
(18201988,)	4
(18203860,)	1
(18200469,)	7
(18204809,)	9
(18214692,)	14
(18213643,)	19
(18218318,)	2
(18200180,)	2
(18205544,)	10
(18204025,)	1
(18197205,)	19
(18212859,)	49
(18206039,)	10
(18204990,)	8
(18195686,)	8
(18221618,)	1
(18197684,)	4
(18207081,)	1
(18223725,)	20
(18199791,)	1
(18197370,)	18
(18212768,)	1
(18206204,)	11
(18211735,)	38
(18205155,)	5
(18216394,)	11
(18221799,)	1
(18204429,)	22
(18199221,)	44
(18211446,)	31
(18205634,)	7
(18207006,)	65
(18210053,)	26
(18209260,)	18
(18207741,)	7
(18215551,)	127
(18223320,)	10
(18197774,)	45
(18211355,)	3
(18207171,)	1
(18213609,)	1
(18210218,)	2
(18199865,)	1
(18197460,)	13
(18205270,)	10
(18214088,)	1
(18201086,)	31
(18210697,)	33
(18222922,)	1
(18195941,)	2
(18223245,)	46
(18200344,)	4
(18212569,)	51
(18205749,)	2
(18204700,)	5
(18213534,)	29
(18224773,)	1
(18222352,)	1
(18217144,)	1
(18200046,)	2
(18196601,)	1
(18198997,)	114
(18213220,)	1
(18223103,)	7
(18208805,)	4
(18224459,)	10
(18200525,)	1
(18197080,)	2
(18205914,)	7
(18207286,)	2
(18214748,)	2
(18222533,)	1
(18221484,)	5
(18212180,)	65
(18202234,)	31
(18205344,)	1
(18219965,)	2
(18213129,)	1
(18223591,)	1
(18210498,)	2
(18216285,)	1
(18203271,)	345
(18199096,)	2
(18215715,)	14
(18218762,)	2
(18224549,)	1
(18206004,)	5
(18211791,)	269
(18207360,)	33
(18204955,)	7
(18210679,)	10
(18213789,)	3
(18223211,)	1
(18205690,)	5
(18207062,)	1
(18209060,)	1
(18203915,)	4
(18212749,)	1
(18206169,)	6
(18210932,)	14
(18200705,)	2
(18200235,)	1
(18199186,)	2
(18196781,)	26
(18220245,)	3
(18201440,)	1
(18209225,)	1
(18223871,)	21
(18204080,)	15
(18206094,)	25
(18220724,)	1
(18213888,)	3
(18205805,)	5
(18204756,)	1
(18213590,)	1
(18221375,)	1
(18203237,)	31
(18198797,)	1
(18219840,)	2
(18209910,)	4
(18222903,)	4
(18217695,)	7
(18197904,)	23
(18204921,)	8
(18201530,)	150
(18196385,)	1
(18215127,)	1
(18207821,)	21
(18205400,)	6
(18211187,)	144
(18220021,)	7
(18200960,)	27
(18209819,)	3
(18215606,)	18
(18208770,)	4
(18222019,)	1
(18208300,)	69
(18207251,)	1
(18204846,)	10
(18210554,)	7
(18196491,)	1
(18207986,)	1
(18205325,)	6
(18201166,)	21
(18214159,)	7
(18202757,)	36
(18212624,)	2
(18206060,)	10
(18205011,)	1
(18200596,)	1
(18200126,)	1
(18197705,)	14
(18196656,)	26
(18205490,)	9
(18210165,)	9
(18218999,)	5
(18199556,)	30
(18207597,)	22
(18205176,)	37
(18210644,)	7
(18209595,)	1
(18223176,)	1
(18197886,)	82
(18196837,)	1
(18208076,)	2
(18205671,)	7
(18213465,)	3
(18215861,)	2
(18198365,)	1
(18206150,)	5
(18209760,)	3
(18221729,)	56
(18208241,)	2
(18207192,)	1
(18219161,)	1
(18221431,)	12
(18199902,)	1
(18211871,)	16
(18208720,)	21
(18205291,)	8
(18210822,)	8
(18207687,)	1
(18203772,)	1
(18200381,)	1
(18196927,)	443
(18208166,)	1
(18204721,)	6
(18214604,)	1
(18207117,)	1
(18214927,)	23
(18203202,)	51
(18208645,)	1
(18205200,)	2
(18214034,)	3
(18219821,)	41
(18209875,)	2
(18215662,)	1
(18224480,)	3
(18203681,)	1
(18220300,)	1
(18216141,)	1
(18213720,)	9
(18224975,)	3
(18221505,)	2
(18212201,)	1
(18205381,)	7
(18219986,)	1
(18210040,)	33
(18209007,)	39
(18218874,)	2
(18197026,)	26
(18205860,)	7
(18201701,)	22
(18204811,)	6
(18219416,)	1
(18200182,)	15
(18197505,)	11
(18207967,)	4
(18214380,)	1
(18217750,)	214
(18219622,)	2
(18205471,)	1
(18207083,)	1
(18209081,)	2
(18203936,)	5
(18217915,)	1
(18206206,)	7
(18201791,)	17
(18205157,)	7
(18214000,)	1
(18216396,)	48
(18224206,)	14
(18218394,)	2
(18223157,)	20
(18197851,)	27
(18206992,)	1
(18223636,)	1
(18201956,)	24
(18207743,)	3
(18205066,)	10
(18200907,)	12
(18209741,)	1
(18204596,)	2
(18212406,)	1
(18204777,)	8
(18214404,)	1
(18207173,)	1
(18210220,)	63
(18198511,)	20
(18197462,)	1
(18212092,)	1
(18205256,)	6
(18211043,)	48
(18214090,)	1
(18195943,)	42
(18223247,)	25
(18200346,)	30
(18212571,)	5
(18196892,)	19
(18205751,)	1
(18204702,)	1
(18210410,)	4
(18215941,)	1
(18213520,)	1
(18219307,)	3
(18215148,)	1
(18223982,)	2
(18200032,)	2
(18196603,)	2
(18205437,)	8
(18214271,)	14
(18209840,)	1
(18215627,)	2
(18213222,)	3
(18224461,)	3
(18222040,)	1
(18223412,)	17
(18200527,)	1
(18205916,)	6
(18207272,)	36
(18210335,)	2
(18216106,)	4
(18218360,)	3
(18206395,)	2
(18205346,)	7
(18211133,)	1
(18221000,)	18
(18214180,)	2
(18196042,)	45
(18210021,)	20
(18224626,)	1
(18223577,)	10
(18211612,)	1
(18205032,)	34
(18200617,)	13
(18216287,)	4
(18217236,)	2
(18211298,)	1
(18196223,)	1
(18209930,)	2
(18199577,)	28
(18197172,)	17
(18208411,)	1
(18206006,)	7
(18211777,)	6
(18207362,)	1
(18214824,)	1
(18219587,)	15
(18210665,)	6
(18216196,)	17
(18213791,)	22
(18222634,)	1
(18223213,)	1
(18196858,)	1
(18211223,)	4
(18207048,)	8
(18209062,)	1
(18218929,)	1
(18198386,)	2
(18203917,)	1
(18197337,)	15
(18198709,)	1
(18205122,)	10
(18219752,)	3
(18210590,)	53
(18215312,)	90
(18204652,)	14
(18200237,)	11
(18196783,)	26
(18209227,)	32
(18197262,)	22
(18206080,)	6
(18207708,)	2
(18213890,)	15
(18197997,)	1
(18196948,)	1
(18214625,)	12
(18206286,)	7
(18198799,)	6
(18205237,)	5
(18211008,)	13
(18207617,)	20
(18200327,)	31
(18197906,)	52
(18208377,)	2
(18204923,)	1
(18216162,)	22
(18219272,)	1
(18196568,)	147
(18205402,)	1
(18220800,)	1
(18214236,)	2
(18198096,)	9
(18203883,)	5
(18211668,)	13
(18201722,)	1
(18207253,)	1
(18204832,)	3
(18215294,)	71
(18205327,)	7
(18211098,)	16
(18196023,)	1
(18222979,)	36
(18203792,)	4
(18201647,)	1
(18205013,)	55
(18214880,)	2
(18200598,)	28
(18213847,)	3
(18196658,)	1
(18207897,)	1
(18216731,)	2
(18196188,)	2
(18213277,)	1
(18218985,)	1
(18203973,)	2
(18197137,)	1
(18212807,)	3
(18205971,)	10
(18205178,)	6
(18214805,)	21
(18216417,)	93
(18200293,)	24
(18197872,)	14
(18196839,)	14
(18208078,)	40
(18207029,)	1
(18213467,)	1
(18208557,)	3
(18207508,)	3
(18205103,)	52
(18213946,)	14
(18223359,)	55
(18203568,)	3
(18207194,)	1
(18209192,)	17
(18198276,)	41
(18208722,)	25
(18211064,)	1
(18207673,)	3
(18214127,)	1
(18210720,)	1
(18213078,)	1
(18203774,)	23
(18205772,)	2
(18207119,)	1
(18215962,)	166
(18213557,)	3
(18196443,)	1
(18223747,)	17
(18203204,)	34
(18197392,)	46
(18206251,)	10
(18195873,)	19
(18208828,)	2
(18218711,)	31
(18203683,)	1
(18200548,)	1
(18197119,)	1
(18205937,)	6
(18211468,)	18
(18202546,)	8
(18214771,)	32
(18221507,)	136
(18207788,)	3
(18214201,)	1
(18213152,)	3
(18205862,)	6
(18201703,)	13
(18204813,)	2
(18214680,)	118
(18219418,)	16
(18209472,)	1
(18207953,)	1
(18214382,)	1
(18215738,)	10
(18198242,)	1
(18223523,)	15
(18212863,)	1
(18204978,)	1
(18214861,)	9
(18219608,)	1
(18195674,)	18
(18221622,)	14
(18204508,)	1
(18224002,)	1
(18200093,)	9
(18205457,)	2
(18216952,)	1
(18215919,)	2
(18224762,)	1
(18222101,)	20
(18198167,)	8
(18202889,)	28
(18212772,)	2
(18208613,)	25
(18205159,)	5
(18214002,)	5
(18212953,)	5
(18224192,)	23
(18211434,)	1
(18202256,)	38
(18208043,)	9
(18205638,)	13
(18214481,)	1
(18220268,)	2
(18197283,)	1
(18208522,)	17
(18206117,)	7
(18220747,)	1
(18222745,)	13
(18209743,)	3
(18223324,)	15
(18200439,)	35
(18204779,)	7
(18214406,)	45
