article	number of edits
(18207296,)	2
(18204891,)	6
(18214774,)	3
(18215081,)	1
(18224964,)	3
(18207791,)	1
(18211157,)	1
(18206742,)	2
(18196066,)	30
(18213155,)	1
(18203851,)	1
(18217830,)	1
(18200460,)	17
(18198643,)	56
(18205849,)	7
(18211636,)	1
(18201690,)	1
(18207477,)	3
(18204800,)	1740
(18214683,)	3
(18210524,)	1
(18215262,)	9
(18218309,)	9
(18200171,)	1
(18203281,)	2
(18206584,)	61
(18207956,)	4
(18209954,)	21
(18197196,)	8
(18198552,)	1
(18206030,)	4
(18201615,)	36
(18204981,)	6
(18210433,)	1
(18206509,)	18
(18196156,)	1
(18223716,)	17
(18198154,)	1
(18199782,)	1
(18208600,)	2
(18201780,)	42
(18207567,)	1
(18214005,)	1
(18223146,)	70
(18205625,)	7
(18206997,)	1
(18224674,)	1
(18209251,)	28
(18217061,)	16
(18211916,)	4
(18206104,)	7
(18207732,)	827
(18205071,)	5
(18210779,)	1
(18222748,)	1
(18209730,)	3
(18223327,)	15
(18199377,)	57
(18206599,)	1
(18202424,)	1
(18221385,)	2
(18198500,)	1
(18214095,)	2
(18219866,)	2
(18210688,)	1
(18213046,)	1
(18222913,)	8
(18197930,)	46
(18205740,)	2
(18215137,)	1
(18203172,)	5
(18196592,)	2
(18205426,)	2
(18213211,)	4
(18195841,)	23
(18224450,)	3
(18212485,)	6
(18199467,)	1
(18205905,)	1
(18204856,)	1
(18214739,)	33
(18209531,)	12
(18217316,)	1
(18196517,)	9
(18202225,)	64
(18207756,)	3
(18205351,)	11
(18208491,)	39
(18201671,)	16
(18205037,)	8
(18210489,)	79
(18212336,)	2
(18207921,)	3
(18211303,)	1
(18220146,)	1
(18219097,)	10
(18196212,)	17
(18224540,)	1
(18203997,)	1
(18205995,)	11
(18220625,)	14
(18210670,)	1
(18221590,)	6
(18204476,)	2
(18223202,)	2
(18208102,)	1
(18201266,)	2
(18207053,)	1
(18213491,)	103
(18215887,)	2
(18209051,)	1
(18223681,)	1
(18199747,)	3
(18207532,)	13
(18205127,)	10
(18219757,)	1
(18200952,)	4
(18209786,)	3
(18223127,)	18
(18205606,)	4
(18207218,)	1
(18213400,)	1
(18207697,)	3
(18219666,)	6
(18218554,)	12
(18223292,)	25
(18202749,)	7
(18199358,)	4
(18204747,)	1
(18207143,)	1
(18210190,)	16
(18224820,)	3
(18223771,)	10
(18199837,)	1
(18206275,)	9
(18220880,)	1
(18214060,)	1
(18201042,)	3
(18209901,)	1
(18224506,)	3
(18203707,)	4
(18202658,)	1
(18212541,)	3
(18208382,)	109
(18211492,)	11
(18207333,)	1
(18210380,)	4
(18196376,)	2
(18223936,)	2
(18200002,)	2
(18196573,)	1
(18198953,)	1
(18207812,)	3
(18205407,)	10
(18209810,)	5
(18213176,)	3
(18224431,)	3
(18222010,)	1
(18211657,)	1
(18204837,)	8
(18214704,)	64
(18213671,)	1
(18219442,)	1
(18224910,)	4
(18221440,)	22
(18197531,)	2
(18199159,)	8
(18205316,)	1
(18203797,)	33
(18223547,)	1
(18206051,)	5
(18207423,)	3
(18205002,)	1
(18197696,)	8
(18217462,)	2
(18207902,)	3
(18205481,)	6
(18220127,)	1
(18216720,)	4
(18196177,)	1
(18222125,)	1
(18197142,)	1
(18200752,)	5
(18221811,)	13
(18197877,)	3
(18202280,)	2
(18214505,)	4
(18207018,)	1
(18215852,)	1
(18197307,)	1
(18211937,)	2
(18207497,)	3
(18221720,)	1
(18204622,)	1
(18205571,)	5
(18207199,)	2
(18216042,)	2
(18213381,)	7
(18211862,)	11
(18205282,)	5
(18211069,)	1
(18213067,)	1
(18195953,)	1
(18197967,)	1
(18205761,)	1
(18208157,)	1
(18201577,)	112
(18207108,)	1
(18196432,)	39
(18206240,)	1
(18205207,)	9
(18220861,)	13
(18209866,)	2
(18215653,)	19
(18222859,)	13
(18195878,)	2
(18202639,)	14
(18199488,)	7
(18205942,)	9
(18207298,)	33
(18214760,)	121
(18210345,)	15
(18216132,)	2
(18209296,)	13
(18198934,)	47
(18205372,)	8
(18201213,)	1
(18219977,)	2
(18221991,)	1
(18203853,)	23
(18223603,)	18
(18204802,)	11
(18219423,)	4
(18203283,)	2
(18217262,)	11
(18202171,)	124
(18220951,)	3
(18209956,)	2
(18213322,)	81
(18217741,)	343
(18211803,)	11
(18204983,)	7
(18195679,)	136
(18209642,)	13
(18224767,)	15
(18221297,)	2
(18199768,)	2
(18212761,)	4
(18195588,)	92
(18197842,)	30
(18214486,)	142
(18201468,)	30
(18206999,)	1
(18196323,)	27
(18211918,)	1
(18213916,)	2
(18219703,)	42
(18200898,)	1
(18215528,)	2
(18209732,)	1
(18197767,)	5
(18212397,)	6
(18205817,)	1
(18211348,)	11
(18208213,)	58
(18214974,)	1
(18224841,)	1
(18198502,)	2
(18214081,)	1
(18218500,)	1
(18212562,)	1
(18196883,)	2
(18205742,)	3
(18207354,)	2
(18204693,)	8
(18210401,)	1
(18213527,)	5
(18222345,)	1
(18198411,)	61
(18200039,)	2
(18206221,)	10
(18216667,)	1
(18219777,)	3
(18222047,)	6
(18200518,)	38
(18197073,)	2
(18212487,)	43
(18199469,)	1
(18207279,)	11
(18204858,)	6
(18215048,)	267
(18196519,)	4
(18211124,)	1
(18206965,)	14
(18214171,)	1
(18196033,)	2
(18213122,)	4
(18208963,)	1
(18198610,)	26
(18206072,)	5
(18205039,)	8
(18216278,)	20
(18213857,)	3
(18209442,)	12
(18224063,)	19
(18196684,)	15
(18209921,)	2
(18213303,)	3
(18198212,)	1
(18203999,)	12
(18205997,)	14
(18220627,)	1
(18207609,)	3
(18210656,)	19
(18204478,)	1
(18199270,)	1
(18196849,)	2
(18205683,)	6
(18211214,)	27
(18220057,)	1
(18224732,)	2
(18209053,)	3
(18218920,)	1
(18221278,)	2
(18198377,)	5
(18217887,)	2
(18197328,)	5
(18212742,)	1
(18208583,)	44
(18206162,)	124
(18220792,)	1
(18201747,)	9
(18207534,)	3
(18205113,)	9
(18209788,)	41
(18215319,)	1
(18224162,)	1
(18212453,)	3
(18199179,)	2
(18208013,)	3
(18214451,)	2
(18220238,)	3
(18207220,)	1
(18213402,)	20
(18204073,)	1
(18207699,)	3
(18214137,)	1
(18213088,)	1
(18197988,)	1
(18196939,)	4
(18202407,)	25
(18207129,)	1
(18219354,)	1
(18223773,)	22
(18198467,)	1
(18206277,)	24
(18205228,)	9
(18219833,)	8
(18209903,)	1
(18203709,)	2
(18199525,)	22
(18211494,)	74
(18207335,)	28
(18216153,)	1
(18196378,)	2
(18224987,)	1
(18197608,)	2
(18220014,)	1
(18196089,)	13
(18215599,)	1
(18223061,)	1
(18202825,)	25
(18199434,)	1
(18204839,)	10
(18210547,)	15
(18213657,)	2
(18205318,)	7
(18211089,)	1
(18219923,)	2
(18218811,)	1
(18224598,)	5
(18212617,)	1
(18198591,)	1
(18211824,)	1
(18205004,)	8
(18214887,)	19
(18213838,)	5
(18224028,)	3
(18199070,)	39
(18196649,)	2
(18206532,)	43
(18205483,)	6
(18214317,)	1
(18223739,)	19
(18203964,)	12
(18199805,)	53
(18205169,)	5
(18214796,)	1
(18200754,)	3
(18205648,)	8
(18207020,)	1
(18196344,)	3
(18224697,)	3
(18222292,)	1
(18199714,)	8
(18203080,)	1
(18205094,)	6
(18204608,)	1
(18223350,)	38
(18208234,)	88
(18214416,)	3
(18207185,)	1
(18213383,)	1
(18210232,)	21
(18214995,)	1
(18218042,)	5
(18198523,)	3
(18204054,)	1
(18206333,)	40
(18205284,)	7
(18210727,)	1
(18195955,)	1
(18209678,)	1
(18221903,)	2
(18199325,)	2
(18207110,)	1
(18215160,)	2
(18207870,)	103
(18205193,)	9
(18220863,)	1
(18214027,)	3
(18218702,)	65
(18222068,)	2
(18204895,)	1
(18209298,)	9
(18223919,)	2
(18207779,)	1
(18211145,)	15
(18206730,)	1
(18196070,)	14
(18208984,)	3
(18221977,)	6
(18217818,)	83
(18205853,)	1
(18211624,)	1
(18201694,)	1
(18204804,)	1
(18200645,)	1
(18210512,)	3
(18216299,)	2
(18197754,)	9
(18196705,)	1
(18212119,)	105
(18202173,)	54
(18207944,)	30
(18205539,)	8
(18216778,)	1
(18208909,)	41
(18204020,)	1
(18211805,)	56
(18220648,)	1
(18204969,)	2
(18214852,)	20
(18210437,)	2
(18203450,)	2
(18205448,)	8
(18207076,)	1
(18215910,)	2
(18223704,)	17
(18203929,)	24
(18211714,)	85
(18220573,)	3
(18207555,)	3
(18205150,)	3
(18200735,)	1
(18204664,)	9
(18218387,)	22
(18224678,)	3
(18198902,)	2
(18206108,)	7
(18220738,)	1
(18201949,)	4
(18207720,)	2
(18205059,)	10
(18212869,)	1
(18209734,)	3
(18217528,)	16
(18223315,)	1
(18198009,)	2
(18202428,)	1
(18204770,)	9
(18220168,)	1
(18207166,)	3
(18210213,)	1
(18208694,)	19
(18205249,)	16
(18220919,)	3
(18201858,)	2
(18207645,)	3
(18224273,)	23
(18205728,)	9
(18220349,)	4
(18213513,)	4
(18219300,)	1
(18196415,)	2
(18198413,)	1
(18205430,)	8
(18206786,)	16
(18214248,)	2
(18215620,)	1
(18195845,)	4
(18198124,)	44
(18205909,)	20
(18204860,)	6
(18200701,)	28
(18213694,)	1
(18209535,)	62
(18199950,)	129
(18196505,)	4
(18214173,)	34
(18219944,)	2
(18215785,)	2
(18208965,)	1
(18224619,)	3
(18221958,)	1
(18197240,)	32
(18206074,)	7
(18201659,)	2
(18220439,)	8
(18216264,)	1
(18212340,)	2
(18205504,)	10
(18211291,)	3
(18216759,)	1
(18222148,)	25
(18209130,)	25
(18218757,)	160
(18203985,)	1
(18208404,)	70
(18220629,)	2
(18207611,)	3
(18210658,)	1
(18213768,)	2
(18224255,)	53
(18203431,)	33
(18205685,)	5
(18211200,)	1
(18207041,)	1
(18215875,)	2
(18224734,)	3
(18223685,)	19
(18198379,)	3
(18203117,)	1
(18206164,)	7
(18205115,)	10
(18197809,)	1
(18196760,)	24
(18205594,)	8
(18207222,)	1425
(18209220,)	20
(18198288,)	1
(18213090,)	21
(18208180,)	1
(18204751,)	12
(18207131,)	1
(18214941,)	1
(18224808,)	20
(18198469,)	1
(18197420,)	8
(18208659,)	18
(18205230,)	1
(18219835,)	3
(18195901,)	1
(18203711,)	17
(18197899,)	32
(18202662,)	1
(18208370,)	117
(18211480,)	32
(18196380,)	1
(18218153,)	32
(18200006,)	4
(18202004,)	40
(18209814,)	3
(18213180,)	1
(18200485,)	9
(18197040,)	8
(18205874,)	6
(18207246,)	1
(18204825,)	1
(18207981,)	2
(18205560,)	9
(18214394,)	18
(18209979,)	4
(18218813,)	28
(18203785,)	21
(18198577,)	1
(18206055,)	20
(18219636,)	1
(18217450,)	3
(18199056,)	1
(18196651,)	18
(18212305,)	20
(18201326,)	3
(18207097,)	1
(18209111,)	1
(18212784,)	6
(18211751,)	31
(18205171,)	8
(18214798,)	1
(18203396,)	1
(18202284,)	2
(18208071,)	1
(18205650,)	9
(18214509,)	29
(18207022,)	1
(18196346,)	2
(18215840,)	11
(18221245,)	2
(18197311,)	2
(18208550,)	2
(18220775,)	22
(18207501,)	178
(18216335,)	6
(18197790,)	1
(18206608,)	3
(18205575,)	5
(18220205,)	6
(18213625,)	2
(18196271,)	10
(18210234,)	13
(18197476,)	1
(18211057,)	12
(18220684,)	3
(18215476,)	1
(18222938,)	2
(18217474,)	16
(18205765,)	10
(18211536,)	30
(18204716,)	5
(18210424,)	26
(18219321,)	1
(18218209,)	97
(18206244,)	8
(18205195,)	7
(18219800,)	1
(18209870,)	2
(18203676,)	2
(18199492,)	48
(18205930,)	1
(18204881,)	3
(18201490,)	27
(18216120,)	3
(18215087,)	15
(18221500,)	2
(18197591,)	36
(18215566,)	71
(18218869,)	1
(18221979,)	1
(18198070,)	1
(18201680,)	43
(18207467,)	3
(18204806,)	8
(18200647,)	2
(18196707,)	3
(18207946,)	25
(18205541,)	6
(18220939,)	13
(18216780,)	1
(18209944,)	2
(18215731,)	2
(18208911,)	22
(18198235,)	15
(18223516,)	1
(18202973,)	2
(18198558,)	16
(18206020,)	6
(18211807,)	4
(18220650,)	20
(18216210,)	28
(18213805,)	3
(18197665,)	1
(18199293,)	1
(18205450,)	1
(18201291,)	1
(18207078,)	3
(18216945,)	8
